carpeta,archivo,ruta,anio,tipo_acto,subtipo,vigente_ccyc,variables_detectadas,calidad_preset,observaciones,usar_como_preset
DECLARACION JURADA-VARIAS,DELCARACION JURADA MUNICIPALIDAD.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\DECLARACION JURADA-VARIAS\DELCARACION JURADA MUNICIPALIDAD.docx,sin_fecha,Declaración de Superficie y Transferencia de Inmueble,Acto administrativo municipal con intervención de partes,False,"fecha_documento, nombre_transmitente, dni_transmitente, nombre_adquirente, dni_adquirente, numero_padron_municipal, ubicacion_calle, numero_calle, distrito, departamento, provincia, fecha_declaracion_superficie, superficie_cubierta_m2, deudas_posteriores",baja,"Documento redactado bajo normas anteriores al CCyC 2015; utiliza lenguaje y estructura obsoletos. Requiere actualización integral de formato, cláusulas y terminología para cumplir con estándares actuales del Código Civil y Comercial.",no
DESISTIMIENTO,NOTA DESISTIMIENTO REGISTRO.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\DESISTIMIENTO\NOTA DESISTIMIENTO REGISTRO.docx,sin_fecha,Desistimiento de inscripción notarial,De escritura pública de registro,False,"nombre_notario, numero_registro_notarial, numero_escritura, numero_entrada, fecha_escritura, fojas, fecha_desistimiento, provincia",baja,Documento anterior a CCyC (2010). Requiere actualización a lenguaje y estructura vigente del CCyC 2015 con referencias a los artículos aplicables de capacidad y consentimiento.,no
DISTRACTO,DISTRACTO-DALVIAN HOUSE Y DALVIAN SA (2011).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\DISTRACTO\DISTRACTO-DALVIAN HOUSE Y DALVIAN SA (2011).docx,sin_fecha,Distracto de Dación en Pago,de inmueble urbano,False,"nombre_apoderado, documento_apoderado, domicilio_apoderado, nombre_empresa_1, cuit_empresa_1, numero_poder_1, fecha_poder_1, nombre_empresa_2, cuit_empresa_2, numero_poder_2, fecha_poder_2, numero_escritura_antecedente, fecha_escritura_antecedente, ubicacion_inmueble, superficie_inmueble, limites_norte, limites_sur, limites_este, limites_oeste, matricula_inmueble",media,"Documento usa lenguaje y referencias del Código Civil de Vélez (art. 1.002), anterior al CCyC 2015. Requiere actualización a normativa vigente del CCyC (arts. 288-289 sobre representación, 1885-1898 sobre dación en pago) y modernización de formatos de individuación de bienes.",no
DIVISION DE CONDOMINIO,DIVCOND_RICCARDI_DEBETA (2005).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\DIVISION DE CONDOMINIO\DIVCOND_RICCARDI_DEBETA (2005).docx,sin_fecha,División de condominio,"De inmueble rural (15.562,73 m²)",False,"Nombres de condóminos, Números de DNI/LE, CUIT/L, Estado civil de comparecientes, Nombres de cónyuges, Domicilio especial, Ubicación del inmueble (distrito, departamento), Superficie del inmueble, Porcentaje de condominio, Número y fecha de escritura de origen, Nombre del notario de origen, Número de matrícula, Folio Real",baja,"Documento de 2005 usa Código Civil de Vélez (art. 1.277 en lugar de CCyC). El texto aparece incompleto al final (corte en 'b) Posteriormente, e'). Requiere actualización integral al CCyC 2015 y verificación de estado dominial.",no
DOMINIO FIDUCIARIO,DOM.FID.SUDINV_PISSIS SA(Lote15).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\DOMINIO FIDUCIARIO\DOM.FID.SUDINV_PISSIS SA(Lote15).docx,sin_fecha,Compraventa de inmueble,con cargos,False,"nombre_vendedor, dni_vendedor, domicilio_vendedor, nombre_comprador, dni_comprador, domicilio_comprador, nombre_tercero, fecha_nacimiento_tercero, domicilio_tercero, nombre_empresa_vendedora, cuit_empresa, domicilio_legal_empresa, numero_escritura, fecha_escritura, numero_notario, ciudad_notario, poder_numero_1, poder_fecha_1, poder_numero_2, poder_fecha_2, registro_mandatos_numero, registro_mandatos_fojas, registro_mandatos_tomo",baja,"Documento redactado bajo Código de Vélez (2006). Requiere actualización a lenguaje y estructura del CCyC 2015: capacidad jurídica, legitimación conforme arts. 335-340 CCyC, identificación de partes con art. 287 CCyC. Falta completar: descripción del inmueble, precio, forma de pago y cargos específicos.",no
DONACION,DONACION MENDOZA (DICIEMBRE 2019).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\DONACION\DONACION MENDOZA (DICIEMBRE 2019).docx,2019,Donación con constitución de usufructo y desafectación de vivienda familiar,De inmueble urbano con subrogación real de protección,True,"nombre_donante_1, dni_donante_1, cuit_donante_1, fecha_nac_donante_1, nombre_donante_2, dni_donante_2, cuit_donante_2, fecha_nac_donante_2, domicilio_donantes, nombre_donatario_1, dni_donatario_1, cuit_donatario_1, fecha_nac_donatario_1, estado_civil_donatario_1, domicilio_donatario_1, nombre_donatario_2, dni_donatario_2, cuit_donatario_2, fecha_nac_donatario_2, estado_civil_donatario_2, domicilio_donatario_2, nombre_donatario_3, dni_donatario_3, cuit_donatario_3, fecha_nac_donatario_3, estado_civil_donatario_3, domicilio_donatario_3, nombre_conyuge_donatario_3, dni_conyuge_donatario_3, fecha_nac_conyuge_donatario_3, numero_escritura, numero_protocolo, fecha_escritura, ciudad_escritura, notario_nombre, numero_registro_notarial, descripcion_inmuebles",media,"Documento incompleto (falta descripción de inmuebles y cláusulas finales), pero estructura correcta con referencias al CCyC 2015 (art. 306, 470). Requiere completar datos de inmuebles, montos, plazo de usufructo y firma digital notarial.",si
EDICTOS,PUBLI.EDICTOS-TERRARENA.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\EDICTOS\PUBLI.EDICTOS-TERRARENA.docx,sin_fecha,Acta de Constitución de Sociedad Anónima,Comunicación de constitución de S.A.,False,"nombre_sociedad, nombres_socios, dni_socios, cuit_cuil_socios, fechas_nacimiento_socios, domicilios_socios, profesiones_socios, numero_escritura_constitutiva, fecha_escritura_constitutiva, nombre_escribano, domicilio_social, objeto_social, plazo_duracion, monto_capital_social, cantidad_acciones, valor_nominal_accion, presidente_directorio, director_suplente, fecha_cierre_ejercicio",baja,"El documento usa Ley 19.550 (Código de Comercio derogado) y referencias anteriores al CCyC 2015. Requiere actualización normativa completa a la Ley 26.994 (CCyC), especialmente en materia de gobierno corporativo, responsabilidad de administradores y derechos de socios.",no
EMANCIPACION,EMANCIPACION WAISMAN.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\EMANCIPACION\EMANCIPACION WAISMAN.docx,sin_fecha,Habilitación de edad (emancipación),Emancipación por acto de los padres,False,"nombres_padres, dni_padre, dni_madre, nombre_hijo, dni_hijo, fecha_nacimiento_hijo, domicilio, numero_escritura, fecha_otorgamiento, registro_notarial, datos_matrimonio_padres, acta_nacimiento_hijo",baja,"Documento redactado conforme al Código Civil de Vélez (art. 131 sobre habilitación de edad), derogado por el CCyC 2015. Requiere revisión completa: el CCyC eliminó la figura de habilitación de edad, reemplazándola por emancipación (art. 643). No es aplicable en la actualidad.",no
ESCRITOS VARIOS,"SOLICITUD DESARCHIVO PEREZ, JAIME FEBRERO 2021 (1).docx","C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ESCRITOS VARIOS\SOLICITUD DESARCHIVO PEREZ, JAIME FEBRERO 2021 (1).docx",sin_fecha,Solicitud de desarchivo y préstamo de autos judiciales,Para otorgamiento de escritura de transferencia de inmuebles en sucesión,False,"nombre_notario, numero_registro_notario, domicilio_notario, nombre_escribana_adscripta, nombre_escribano_adscripto, numero_registro_adscripto, numero_expediente, carátula_expediente, tribunal_competente, circunscripcion_judicial, provincia, fecha_archivacion, paquete_archivo, año_archivacion",baja,"Documento de carácter procesal/administrativo dirigido a juzgado, no es acto notarial típico. Redacción arcaica (ut supra, Usía) que requiere actualización conforme CCyC 2015.",no
ESCRITURAS ANDREA VILA Y ABOGADOS,TRASMISIÓN DE DOMINIO A TÍTULO DE CUMPLIMIENTO DE ACUERDO TRANSACCIONAL EN JUICIO POR RECOMPOSICIÓN DE PORCIÓN HEREDITARIA.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ESCRITURAS ANDREA VILA Y ABOGADOS\TRASMISIÓN DE DOMINIO A TÍTULO DE CUMPLIMIENTO DE ACUERDO TRANSACCIONAL EN JUICIO POR RECOMPOSICIÓN DE PORCIÓN HEREDITARIA.docx,sin_fecha,Escritura de transmisión de dominio a título de cumplimiento de acuerdo transaccional,Por recomposición de porción hereditaria en juicio,True,"número_escritura, día_mes_año, notario_nombre, registro_notarial, nombre_compareciente_1, dni_compareciente_1, cuit_compareciente_1, fecha_nacimiento_compareciente_1, estado_civil_compareciente_1, domicilio_compareciente_1, nombre_compareciente_2, dni_compareciente_2, cuit_compareciente_2, fecha_nacimiento_compareciente_2, estado_civil_compareciente_2, cónyuge_nombre, domicilio_compareciente_2, denominacion_sociedad_1, cuit_sociedad_1, domicilio_sociedad_1, cargo_representante, fecha_contrato_social, escribana_autora, fojas_protocolo, registro_notarial_sociedad, fojas_legajo, fecha_asamblea, fecha_acta_directorio, descripcion_inmueble, monto_transaccion",media,Documento incompleto (corta abruptamente en acta de asamblea). Contiene referencias válidas al CCyC 2015 (art. 306) pero requiere completar datos faltantes y revisar la descripción del inmueble objeto de transmisión.,si
ESPINOLA,SOMETIMIENTO A PH - ESPINOLA - ADJUDICACION - ANT. DE HERENCIA (ENERO 2017).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ESPINOLA\SOMETIMIENTO A PH - ESPINOLA - ADJUDICACION - ANT. DE HERENCIA (ENERO 2017).docx,sin_fecha,Anticipo de herencia con reglamento de copropiedad,Adjudicación de inmueble en condominio con división de herencia,True,"nombre_compareciente_principal, dni_compareciente, cuit_compareciente, fecha_nacimiento, estado_civil, nombre_conyuge, dni_conyuge, numero_escritura, fecha_otorgamiento, numero_protocolo, notario_nombre, registro_notarial_numero, domicilio_inmueble, distrito_seccion, porcentaje_copropiedad, numero_unidad_funcional",media,Documento incompleto en su reproducción (corta abruptamente en último compareciente). Contiene redacción adecuada al CCyC pero requiere completitud total y clarificación de los porcentajes de adjudicación hereditaria y régimen de copropiedad.,si
ESTUDIOS DE TITULOS,2021 - EST_JARA Sebastián (VENDE VILADRICH) (BNA - SUC 2400) OCT. 2021.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ESTUDIOS DE TITULOS\2021 - EST_JARA Sebastián (VENDE VILADRICH) (BNA - SUC 2400) OCT. 2021.docx,2021,Estudio de títulos,de inmueble urbano con garantía hipotecaria,True,"nombre_propietario_1, dni_propietario_1, cuit_propietario_1, fecha_nacimiento_propietario_1, nombre_propietario_2, dni_propietario_2, cuit_propietario_2, fecha_nacimiento_propietario_2, fecha_union_convivencial, numero_acta_union_convivencial, fecha_acta_union_convivencial, escribana_union_convivencial, registro_escribana_union, lote_numero, calle_inmueble, barrio_inmueble, distrito_inmueble, departamento_inmueble, provincia, superficie_m2, mes_ano_mensura, agrimensor_nombre, numero_catastro, lindero_norte, medida_norte, lindero_sur, medida_sur, lindero_este, medida_este, lindero_oeste, medida_oeste, nomenclatura_catastral, padron_territorial, padron_municipal, avaluo_fiscal_ano, avaluo_fiscal_monto, vendedor_nombre, vendedor_estado_familia, banco_acreedor, sucursal_banco, numero_escritura_compra, fecha_escritura_compra, registro_notarial_acreedor, propietario_anterior_1, propietario_anterior_2, numero_escritura_anterior, fecha_escritura_anterior, escribana_anterior, fojas_protocolo_anterior, registro_notarial_anterior, numero_matricula_folio_real, asiento_registro",media,Documento incompleto (finaliza abruptamente con 'LE C'). Contiene referencias correctas al CCyC (arts. 509 ss. sobre uniones convivenciales) pero requiere completarse y revisar redacción de algunos párrafos para mayor precisión técnica.,no
FIDEICOMISO,SUSTITUCION FIDUCIARIO - GIOVANETTI - CONTE (16 DIC. 2015).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\FIDEICOMISO\SUSTITUCION FIDUCIARIO - GIOVANETTI - CONTE (16 DIC. 2015).docx,sin_fecha,Cambio de titularidad por sustitución fiduciaria,Fideicomiso inmobiliario con sustitución de fiduciario por fallecimiento,True,"nombre_fiduciante_1, nombre_fiduciante_2, nombre_fiduciario_sustituto, dni_fiduciante_1, dni_fiduciante_2, dni_fiduciario_sustituto, cuit_fiduciante_1, cuit_fiduciante_2, cuit_fiduciario_sustituto, fecha_nacimiento_fiduciante_1, fecha_nacimiento_fiduciante_2, fecha_nacimiento_fiduciario_sustituto, domicilio_calle, domicilio_numero, domicilio_departamento, domicilio_provincia, numero_escritura, fecha_escritura, notario_nombre, notario_registro, nombre_fideicomiso, cuit_fideicomiso, nombre_fiduciario_anterior, dni_fiduciario_anterior, fecha_fallecimiento_fiduciario, acta_defuncion_libro, acta_defuncion_numero, acta_defuncion_oficina, escritura_contrato_numero, escritura_contrato_fecha, escritura_transferencia_numero, escritura_transferencia_fecha",media,"Documento vigente según CCyC 2015 (referencia art. 306), pero presenta redacción incompleta: falta la descripción del inmueble, las manifestaciones finales de los otorgantes y la parte resolutiva del acto. Requiere revisar la concordancia de datos entre el contrato original y la sustitución.",si
FONDO DE COMERCIO,TRANSFERENCIA FONDO DE COMERCIO-TRIONE.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\FONDO DE COMERCIO\TRANSFERENCIA FONDO DE COMERCIO-TRIONE.docx,sin_fecha,Transferencia de Fondo de Comercio,Mueblería,True,"nombre_vendedor, dni_vendedor, domicilio_vendedor, nombre_comprador, cuit_comprador, domicilio_comprador, nombre_representante, dni_representante, cargo_representante, rubro_comercial, ubicacion_local, nombre_comercial, precio_total, escribano_instrumentante, domicilio_escribano",media,"El documento está incompleto (se corta en la cláusula final). Falta especificar claramente el valor de mercaderías, instalaciones y llave por separado; también requiere actualizar referencias al protocolo notarial conforme requisitos actuales del CCyC.",si
FRACCIONAMIENTO,FRACCIONAMIENTO FINCAMAR 2 DE JUNIO ( PASAR A PROTOCOLO).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\FRACCIONAMIENTO\FRACCIONAMIENTO FINCAMAR 2 DE JUNIO ( PASAR A PROTOCOLO).docx,sin_fecha,Fraccionamiento de inmueble,Fraccionamiento de tierra rural con mensura,False,"nombre_notario, numero_registro_notarial, fecha_acto, nombre_compareciente, dni_compareciente, cuit_compareciente, domicilio_compareciente, nombre_empresa, cuit_empresa, domicilio_empresa, cargo_representante, fecha_constitucion_sociedad, escribano_constitucion, numero_inscripcion_igj, ubicacion_inmueble, superficie_inmueble, numero_plano_mensura, agrimensor, linderos_norte, linderos_sur",baja,"Documento redactado bajo Código Civil de Vélez (referencias a art. 1.002). Requiere actualización a lenguaje CCyC 2015, revisión de domicilios (inconsistencia: Buenos Aires vs Mendoza), y falta descripción completa de linderos (Este y Oeste incompletos).",no
GARANTIAS BCO. NACION,F-048440 F GARANTIA ESPECIFICA[1].docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\GARANTIAS BCO. NACION\F-048440 F GARANTIA ESPECIFICA[1].docx,sin_fecha,Documento incompleto,,False,,baja,El documento proporcionado es un fragmento insuficiente (solo pie de página con número de folio y fecha SET/06). No es posible identificar el tipo de acto notarial ni analizar su contenido sustancial.,no
GUARDA HABITUAL,GUARDA HABITUAL.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\GUARDA HABITUAL\GUARDA HABITUAL.docx,sin_fecha,Declaración jurada,Declaración de guarda y localización de vehículo,False,"nombre_compareciente, dni_compareciente, domicilio_compareciente, cargo_compareciente, razon_social, domicilio_empresa, fecha_acto, numero_escritura, notario_nombre, registro_notario, marca_vehiculo, anio_vehiculo, modelo_vehiculo, tipo_vehiculo, numero_motor, numero_chasis, domicilio_guarda_vehiculo, localidad_guarda, provincia_guarda, datos_catastral_inmueble, actividad_comercial",media,"Documento redactado bajo normativa anterior al CCyC 2015. Requiere actualización de lenguaje, introducción de cláusulas sobre derechos y obligaciones conforme CCyC, y precisión en la redacción de las manifestaciones del declarante para mayor claridad legal.",no
HIPOTECAS BCO. CIUDAD,2021 - BANCO CIUDAD - HIPOTECA COMERCIAL - Fianza - sin gracia COM  A7240 - Inversión Productiva - ARTRANS SA (OCT. 2021).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\HIPOTECAS BCO. CIUDAD\2021 - BANCO CIUDAD - HIPOTECA COMERCIAL - Fianza - sin gracia COM  A7240 - Inversión Productiva - ARTRANS SA (OCT. 2021).docx,2021,Préstamo hipotecario,Cartera comercial con garantía hipotecaria,True,"nombre_acreedor, nombre_deudor, DNI_deudor, CUIT_deudor, fecha_nacimiento_deudor, estado_civil_deudor, domicilio_deudor, nombre_banco, CUIT_banco, domicilio_especial, numero_escritura, fecha_escritura, provincia, notario, numero_protocolo, numero_registro_notario, monto_prestamo, tasa_interes, plazo, descripcion_garantia_inmueble, numero_folio_power, numero_registro_notarial_power",media,"Documento incompleto (corte abrupto al final). Falta descripción del inmueble garantía, monto del crédito, plazo, tasa, y cláusulas fundamentales del contrato. Requiere datos específicos del crédito y detalles catastrales para completitud.",si
HIPOTECAS BCO.NACION,MUTUO CON GARANTÍA HIPO.NACION-SIMUNIC(Compra-Reso.418)Suc.QUINTA.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\HIPOTECAS BCO.NACION\MUTUO CON GARANTÍA HIPO.NACION-SIMUNIC(Compra-Reso.418)Suc.QUINTA.docx,2030,Mutuo con garantía hipotecaria,Préstamo bancario con garantía real,False,"nombre_deudores, dni_deudores, cuil_deudores, estado_civil, domicilio_deudores, nombre_apoderado, dni_apoderado, domicilio_apoderado, cuit_banco, numero_escritura, fecha_escritura, ciudad_provincia, numero_notario, monto_prestamo, moneda, referencia_poder_general, fecha_poder, escribano_poder, numero_inscripcion_poder",baja,"Documento de 2010 usa Código de Vélez Sársfield (cita art. 1.002 CC anterior). Requiere actualización completa a CCyC 2015: reformular capacidad (art. 22 CCyC), domicilio (art. 73 CCyC), definición de acto jurídico y obligaciones. El documento está incompleto (corta en medio de las cláusulas).",no
HIPOTECAS BCO.PATAGONIA,2021 - HIPOTECA ABIERTA - BCO. PATAGONIA - ANDELUNA CELLARS SRL (SUC. 060) DOLARES (MARZO 2021).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\HIPOTECAS BCO.PATAGONIA\2021 - HIPOTECA ABIERTA - BCO. PATAGONIA - ANDELUNA CELLARS SRL (SUC. 060) DOLARES (MARZO 2021).docx,2021,Apertura de crédito con garantía hipotecaria,En segundo grado de privilegio,True,"nombre_acreedor, cuit_acreedor, nombre_deudor, dni_deudor, cuit_deudor, fecha_nacimiento_deudor, estado_civil_deudor, domicilio_deudor, nombre_apoderados, dni_apoderados, fecha_nacimiento_apoderados, monto_credito, tasa_interes, plazo, bien_hipotecado, datos_inmueble",media,Documento incompleto (corte abrupto al final). Contiene referencias válidas al CCyC 2015 (art. 306) pero necesita verificación de datos hipotecarios completos y clausulas finales antes de usarse como preset.,no
HIPOTECAS-VARIAS (Cuyo Aval-Fondo),2018 - MUTUO - COTTAGE DE LOS ANDES - FONDO DE LA TRANSFORMACION (JULIO 2018).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\HIPOTECAS-VARIAS (Cuyo Aval-Fondo)\2018 - MUTUO - COTTAGE DE LOS ANDES - FONDO DE LA TRANSFORMACION (JULIO 2018).docx,2018,Mutuo con garantía hipotecaria,Administradora Provincial del Fondo a favor de Sociedad Anónima,True,"número de escritura, día del mes y año, nombre del notario, número de registro notarial, nombres de comparecientes, DNI/CUIT de personas, estado de familia, fechas de nacimiento, domicilios, nombre y CUIT de sociedad, número de poder especial, fecha de poder, fojas del protocolo, número de inscripción, monto del mutuo, tasa de interés, plazo de devolución, descripción del inmueble hipotecado, resoluciones administrativas",media,El documento está incompleto (cortes en datos clave como fechas de nacimiento y resolución administrativa). Requiere completar todos los campos variables y verificar que la representación de la Administradora se acredite íntegramente antes de usar como preset.,si
INDICES GRALES,INDICE GENERAL 2015.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\INDICES GRALES\INDICE GENERAL 2015.docx,sin_fecha,Índice General de Protocolos,,True,"año_índice, número_protocolo, tipo_acto_notarial, nombre_partes, fecha_otorgamiento, folio, número_acta",baja,Este no es un acto notarial sino un documento administrativo de protocolo. No corresponde ser analizado como preset de acto sustantivo. Se requiere documento notarial específico para análisis.,no
INFORMES VARIOS,Informe Zona de Seg. Napatina SA.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\INFORMES VARIOS\Informe Zona de Seg. Napatina SA.docx,sin_fecha,Certificación de requisitos administrativos,Autorización para operar en Zona de Seguridad de Frontera,False,"Nombre de la sociedad, Nombre del presidente, DNI/Pasaporte del presidente, Estado civil del presidente, Domicilio actual del presidente, País de nacimiento, Fecha de ingreso al país, Número de radicación, Profesión u ocupación, Datos del cónyuge, Datos de padres, Datos de hijos, Números de cuenta de antecedentes, Descripción del proyecto de inversión",baja,"Este documento es un listado administrativo de requisitos, no un acto notarial. Carece de estructura notarial formal (comparecientes, otorgamientos, cláusulas dispositivas) y utiliza lenguaje administrativo antiguo. Requiere redacción conforme CCyC 2015 si se pretende formalizar notarialmente.",no
INMUEBLES-DESCRIPCION,UNIDADES STORNINI(MAYO 2.011)3.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\INMUEBLES-DESCRIPCION\UNIDADES STORNINI(MAYO 2.011)3.docx,sin_fecha,Descripción de unidades funcionales en condominio,Cocheras en edificio en propiedad horizontal,True,"número_unidad, ubicación_nivel, designación, destino, superficie_cubierta_propia, superficie_cubierta_común, porcentaje_dominio_expensas, nomenclatura_catastral, padrón_territorial, padrón_municipal, avalúo_fiscal",media,Documento incompleto: falta información de la última unidad (077) y datos faltantes en avalúos fiscales. Requiere actualización de avalúos y verificación de cálculos de superficies y porcentajes de participación conforme artículos 2026-2029 CCyC.,si
INSCRIPCIONES,inscrIPCIONES.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\INSCRIPCIONES\inscrIPCIONES.docx,sin_fecha,Certificación de inscripción registral,Múltiples hipotecas e inmueble,False,"número_matrícula_1, asiento_1, folio_real_1, fecha_inscripción_1, número_matrícula_2, asiento_2, folio_real_2, fecha_inscripción_2, número_matrícula_3, asiento_3, folio_real_3, fecha_inscripción_3, jurisdicción",baja,"Documento de registro muy antiguo (2007) sin referencias al CCyC 2015. Falta identificación del registrador, protocolo, acto principal que origina las inscripciones y datos completos de las partes intervinientes.",no
INSTRUMENTO EXTRAPROTOCOLAR,2020 - INSTRUMENTO NOTARIAL EXTRAPROTOCOLAR - RESERVA DERECHO PISCINA - DA ROLD (21 OCT. 2020).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\INSTRUMENTO EXTRAPROTOCOLAR\2020 - INSTRUMENTO NOTARIAL EXTRAPROTOCOLAR - RESERVA DERECHO PISCINA - DA ROLD (21 OCT. 2020).docx,2020,Reserva de derecho de pileta,Instrumento extraprotocolar - Acto entre particulares y representante de persona jurídica,True,"nombre_compareciente_1, dni_compareciente_1, fecha_nacimiento_compareciente_1, estado_civil_compareciente_1, domicilio_compareciente_1, nombre_compareciente_2, dni_compareciente_2, domicilio_compareciente_2, nombre_sociedad, cuit_sociedad, domicilio_sociedad, numero_poder, fecha_poder, fecha_otorgamiento, numero_notarial, localidad, provincia",alta,"Documento bien estructurado conforme CCyC 2015, con referencias normativas adecuadas (arts. 23, 44, 45, 306). La acreditación de representación y poderes está debidamente documentada y referenciada. Listo para usar como plantilla.",si
LAS PIRCAS,2018 - GRUPO NOSCAL S.A- ADJUDICACION (LOTES E-13) (PEREZ) ENERO 2018 (III).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\LAS PIRCAS\2018 - GRUPO NOSCAL S.A- ADJUDICACION (LOTES E-13) (PEREZ) ENERO 2018 (III).docx,2017,Transferencia por adjudicación de fideicomiso,De sociedad fiduciaria a persona física,True,"nombre_notario, numero_registro_notarial, fecha_acto, numero_escritura, nombre_fiduciario, nombre_beneficiario, datos_personales_comparecientes, dni_comparecientes, cuit_comparecientes, fechas_nacimiento, domicilios, estado_civil, razon_social_sociedad, cuit_sociedad, cargo_representantes, numero_escritura_constitucion, fecha_constitucion_sociedad",media,"El documento está incompleto (se corta al final). Utiliza correctamente referencias al CCyC 2015 (arts. 306, 456, 470) y lenguaje vigente. Requiere completar párrafos finales y verificar datos de finca/inmueble transferido.",si
LIBERACION DE HIPOTECA,LIBERACIÓN PARCIAL HIP. FRACCION C FINCAMAR SRL FEBRERO 2015.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\LIBERACION DE HIPOTECA\LIBERACIÓN PARCIAL HIP. FRACCION C FINCAMAR SRL FEBRERO 2015.docx,sin_fecha,Liberación parcial de hipoteca,,False,"número de escritura, día y mes del acto, nombre del notario, número de registro notarial, nombre y DNI de comparecientes, estado civil, domicilios, CUIT de personas y sociedades, datos de constitución de sociedad, datos de reformas estatutarias, expediente y resolución judicial",baja,"El documento utiliza referencias al Código Civil de Vélez (art. 1.002) en lugar del CCyC 2015. Requiere actualización normativa completa, revisión de estructura conforme CCyC y completitud de cláusulas (el texto está trunco).",no
LIBRE DEUDA EXPENSAS-DALVIAN,libre DEUDA-ZHENG CHENG.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\LIBRE DEUDA EXPENSAS-DALVIAN\libre DEUDA-ZHENG CHENG.docx,sin_fecha,Solicitud de Libre Deuda,de inmueble urbano en conjunto residencial,False,"nombre_notario, registro_notarial, domicilio_notario, telefono_notario, fecha_documento, direccion_inmueble, numero_inmueble, conjunto_residencial, propietario_anterior, propietario_nuevo, dni_propietario_nuevo, conceptos_deuda",baja,"Documento de 2010 redactado bajo normativa anterior al CCyC. Requiere actualización de lenguaje conforme CCYC 2015, formalización de estructura notarial completa y especificación de actos derivados (certificación de datos catastrales, verificación de hipotecas).",no
